avgWs,stnId,sumRn,sumRnDur,maxWs,minTa,ddMefs,avgTa,avgRhm,ddMes,tm,maxTa,maxInsWs
2.3,90,,,6.3,-2.3,,3.6,44.9,,1/1/2016,7.6,13.7
1.1,95,,,3.1,-9,,-2,79.4,,1/1/2016,3.3,5.2
0.9,98,,,3.8,-6.4,,-0.2,74,,1/1/2016,6.5,6.3
1.1,99,,,2.7,-6.7,,-0.1,74.3,,1/1/2016,5,4.8
5.2,100,,,11,-8.3,,-3.2,68.9,,1/1/2016,0.4,17.4
0.7,101,,,1.9,-5.8,,-1.7,90.8,,1/1/2016,2.3,4.1
7.2,102,,,12.7,2,,5,68.5,,1/1/2016,6.7,16.1
2.3,104,,,5.7,-0.8,,4.6,42.9,,1/1/2016,9.8,9.8
4.8,105,,,9.6,2.1,,5.1,33,,1/1/2016,8.9,16.3
1.7,106,,,5.3,0.5,,6.4,35.9,,1/1/2016,11.6,9.5
1.6,108,,,3.5,-3.3,,1.2,73,,1/1/2016,4,5.6
2.4,112,,,5.3,-0.4,,3.1,83.9,,1/1/2016,5.7,7.4
0.4,114,0,,1.3,-4.4,,0.1,78.8,,1/1/2016,3.8,2.7
3.1,115,,,7.8,2.2,,5.4,54.4,,1/1/2016,9,13.1
0.8,119,,,2.1,-4.2,,1.6,80.1,,1/1/2016,5.7,3.7
0.6,121,,,2.5,-6.1,,-1.1,83,,1/1/2016,4.3,4
0.3,127,,,1.6,-5.9,,-1,79.4,,1/1/2016,4.1,3.2
1.6,129,,,4.6,-4.4,,2.6,86.3,,1/1/2016,7.5,6.8
3.4,130,,,6.2,0.1,,5.1,38.5,,1/1/2016,11,10
0.8,131,,,2.7,-4.2,,1.5,68.1,,1/1/2016,6.2,5.3
1.1,133,,,4.4,-4.2,,1.6,77.4,,1/1/2016,7.7,7.1
2.5,135,,,6.2,-5.7,,0.4,70,,1/1/2016,5.1,9.2
1.2,136,,,4,-7.5,,-0.9,70.9,,1/1/2016,6.2,7.3
1.7,137,,,4.4,-4.2,,2.2,62.5,,1/1/2016,6.5,7.7
3.3,138,,,5.2,0.2,,4.4,52.9,,1/1/2016,9,8.6
1.7,140,,,4.3,-2.4,,2.8,84,,1/1/2016,7.7,7
1,143,,,3.7,-4,,1.7,70.5,,1/1/2016,8,6.2
1.5,146,,,2.7,-2,,2.8,74.4,,1/1/2016,7.7,4.2
1.3,152,,,2.7,-1.6,,4,53.3,,1/1/2016,12,3.7
1.5,155,,,4.3,-2,,2.5,59.1,,1/1/2016,7.9,7.5
1,156,,,2.7,-1.5,,3.2,73.1,,1/1/2016,8.1,4.2
4.3,159,,,7.4,1.1,,5.3,52.1,,1/1/2016,10.9,11.4
1.8,162,,,3.9,-0.8,,4.4,62.1,,1/1/2016,8.8,5.9
1.6,165,,,3,0.6,,4.6,73.8,,1/1/2016,8.2,5.1
3.4,168,,,6.9,0.6,,4.5,54.5,,1/1/2016,8.7,10.5
2.4,169,,,5.4,3.8,,6.4,64.3,,1/1/2016,11.3,7.3
1.3,170,,,3.6,-0.4,,4.6,80.1,,1/1/2016,8.8,6.3
1.3,172,,,4.3,-1.5,,3.3,84.1,,1/1/2016,8.2,5.5
1.4,174,,,5.2,-4.6,,0.4,73.8,,1/1/2016,8.3,8.3
1,177,,,3.6,-3.6,,2.3,80.8,,1/1/2016,7,5.9
2.2,184,,,3.7,5.2,,8.2,60.1,,1/1/2016,10.8,5.6
4.1,185,,,7.9,5.3,,8.4,61.4,,1/1/2016,11.4,10.7
2.3,188,,,4,3.4,,7.1,67.9,,1/1/2016,11.6,7.3
1.2,189,,,3,6.1,,8.9,61.8,,1/1/2016,11.7,5.1
0.6,192,,,2.5,-6.7,,-0.1,69.4,,1/1/2016,8.7,4.1
1,201,,,3.9,-5.4,,1.3,74.1,,1/1/2016,6,6.6
0.7,202,,,2.5,-5.5,,-1.1,87.1,,1/1/2016,2.8,3.9
0.5,203,,,1.1,-6.9,,-1.7,80.9,,1/1/2016,2.7,2.2
1.9,211,,,4.4,-7,,-1.1,75.1,,1/1/2016,2.3,7.4
0.4,212,,,1.7,-5.9,,-1.4,80.8,,1/1/2016,3.2,3.4
2.5,216,,,4.6,-6.7,,-1.1,48.5,,1/1/2016,4.4,8.4
1.8,217,,,4.6,-6.8,,-1.3,68.5,,1/1/2016,2.2,7.1
0.7,221,,,4,-8.8,,-2.6,83.8,,1/1/2016,3.1,5.9
0.6,226,,,3,-7.7,,-1.5,79,,1/1/2016,6.7,4.7
1.4,232,,,3.1,-4.6,,1.8,76.8,,1/1/2016,6.8,5.1
1.8,235,,,4,-1.1,,4,76.6,,1/1/2016,7.6,5.9
0.9,236,,,3.2,-5.3,,1.3,81.5,,1/1/2016,7.4,4.8
0.6,238,,,2.4,-5.5,,-0.7,83.5,,1/1/2016,6.4,4
1.3,243,,,3.3,-1.1,,3.2,74.9,,1/1/2016,8.6,5.2
0.4,244,,,1.8,-7.3,,-1.2,81.9,,1/1/2016,6.4,4.3
1.3,245,,,2.8,-1.7,,3.1,80.1,,1/1/2016,8.6,4.7
1.3,247,,,2.6,-5,,0,73.3,,1/1/2016,6.8,6.7
0.7,248,,,2.6,-8.1,,-2.8,80.9,,1/1/2016,5.9,4.6
0.9,251,,,2.6,-2.2,,3.1,76.9,,1/1/2016,8.3,4.2
1.3,252,,,3.5,-2.1,,2.8,77,,1/1/2016,7.5,5.5
2.4,253,,,5.1,-0.7,,4,47.9,,1/1/2016,10.3,8.3
0.9,254,,,3.6,-6.1,,-0.6,87.1,,1/1/2016,7,10
0.9,255,,,2.6,-2.7,,2.6,64,,1/1/2016,9.1,5.1
1.9,257,,,3.9,-2.9,,3,55,,1/1/2016,9.7,5.8
2.8,258,,,5.6,-2.9,,2.7,68.9,,1/1/2016,9.1,8.2
1.4,259,,,4.2,-3.9,,2,79.3,,1/1/2016,9.3,6.9
0.7,260,,,3.6,-5.6,,1.2,80.4,,1/1/2016,8.5,5.9
0.7,261,,,3.6,-5.7,,1.2,82.1,,1/1/2016,8.6,5.3
1.1,262,,,5.1,-4.4,,1.7,81.5,,1/1/2016,8.4,7.1
0.7,263,,,2.7,-7.2,,-0.3,70.6,,1/1/2016,9.5,3.7
1.1,264,,,4.2,-6.9,,0.9,76.3,,1/1/2016,8.4,6.6
1.7,266,,,5.2,-0.6,,3.7,70.8,,1/1/2016,10.2,6
1,268,,,3.7,-1.4,,3.6,84,,1/1/2016,8.7,5.3
1.4,271,,,4.2,-10.4,,-2.7,67.3,,1/1/2016,4.9,6.4
3.7,272,,,8,-8,,-1,71.9,,1/1/2016,4.1,12.4
1.6,273,,,3.7,-4.5,,0.4,60.9,,1/1/2016,5.5,6.8
1,276,,,5.4,-9.8,,-2.4,67.5,,1/1/2016,6.5,6.4
3.6,277,,,8.6,-2.1,,3.5,47.6,,1/1/2016,8.2,14.2
0.8,278,,,3.3,-10.1,,-2.4,74.3,,1/1/2016,7.6,5.5
0.8,279,,,3,-5.4,,0.4,79.3,,1/1/2016,7.6,5.4
1.8,281,,,5.5,-6.6,,1.3,63.5,,1/1/2016,8.8,8.7
2,283,,,5.8,-5.2,,1.8,62.3,,1/1/2016,9.3,11.5
0.6,284,,,2.8,-8.2,,-1.1,77.6,,1/1/2016,8.3,4.7
0.5,285,,,2.4,-7.4,,-0.7,70.9,,1/1/2016,9.6,3.7
0.5,288,,,2,-5.8,,0.9,75.6,,1/1/2016,9.3,3.6
0.7,289,,,2.5,-5.4,,0.5,61.8,,1/1/2016,8.7,5.1
1.6,294,,,4.3,-1.6,,4.6,56,,1/1/2016,9.3,8.6
0.9,295,,,1.8,-1.4,,3.5,61.3,,1/1/2016,9.2,3.8
3.1,90,,,8,5,,8.4,50.4,,1/2/2016,11.5,18
1.8,95,,,3.3,-0.2,,4.5,76.5,,1/2/2016,8.2,7
1.3,98,,,3.2,1.9,,5.4,70.3,,1/2/2016,10.1,6
2.1,99,,,4.2,1.4,,5.6,75.1,,1/2/2016,11.3,6.4
8.5,100,,,11.5,-1.5,,2.1,72.4,,1/2/2016,4.1,18.6
0.5,101,,,1.7,0,,2.7,85,,1/2/2016,7,3.5
5.3,102,,,9.3,6,,7,82.9,,1/2/2016,8.4,14.4
2.4,104,,,7.1,3.6,,8.1,54.3,,1/2/2016,11.6,12.8
4.9,105,,,9.5,5.5,,9.1,43.8,,1/2/2016,11.2,17.2
1.6,106,,,4.8,5.3,,9.8,46.3,,1/2/2016,14.1,9.3
2,108,,,4.5,1,,5.7,76.9,,1/2/2016,9.5,6.9
3.3,112,,,4.5,4,,7.4,93.1,,1/2/2016,11.1,7.2
0.4,114,,,2.2,1.2,,4.2,76.9,,1/2/2016,9.3,4.4
3.4,115,,,8.1,5.5,,7.8,56.1,,1/2/2016,10.5,13.1
1,119,,,3,1.2,,5.8,83.1,,1/2/2016,10.3,4.7
0.9,121,,,3.8,0.2,,4.5,77,,1/2/2016,9.2,6
0.6,127,,,2.5,0.4,,3.5,74.9,,1/2/2016,9.9,3.7
2.8,129,,,5.4,3.6,,6.5,91.4,,1/2/2016,10.6,8.1
3.4,130,,,5.5,4.2,,8.4,49.1,,1/2/2016,14.7,11.4
0.9,131,,,3.8,1.4,,6,65.5,,1/2/2016,11.5,6.7
1.2,133,,,3.7,2,,6.6,76.5,,1/2/2016,12.3,7.9
2.1,135,,,5.9,-1,,4.4,65.4,,1/2/2016,12,8.8
0.9,136,,,4.4,-3,,2.9,68.5,,1/2/2016,11,7.7
